고객명,성별,나이,직업,거주지,선호채널,연락처,결혼여부,자녀유무,거주 주택유형,주택 소유 여부,차량 보유 여부,차량명,연식,마케팅 활용 동의 여부,보험계약 변경 여부,보험계약 해지 여부,대출 여부,보험금 청구 유무,기타 상담 내용,자동차 보험 가입 여부,대물 보장금액,대인 보장금액,운행거리할인 특약 가입여부,생명보험 가입상품,총 납입보험료,보험계약 유지기간,대출 건수,대출 금액,대출상품,캠페인/동의정보,디지털접촉횟수,조회 정보,관심 이벤트,제공 정보
조다인,여성,22,변호사,대전,온라인,010-4107-6182,미혼,아니오,빌라,아니오,아니오,,,아니오,아니오,예,아니오,아니오,보험료 문의,아니오,0,0,아니오,암보험,4480100,3,2,0,담보대출,아니오,26,7,결제 기한,전화
김도윤,남성,58,요리사,광주,온라인,010-5785-4379,미혼,아니오,오피스텔,아니오,아니오,,,아니오,아니오,예,예,아니오,보장 내용 문의,아니오,0,0,아니오,연금상품,4624599,4,3,3667579,보험계약대출,아니오,22,1,결제 기한,SMS
임서윤,여성,67,프로그램 개발자,창원,전화,010-6251-4722,결혼,예,오피스텔,아니오,예,아반떼,2012,아니오,아니오,아니오,아니오,아니오,해지 문의,예,601777163,무한,아니오,종신상품,2928546,19,3,1938382,보험계약대출,예,46,15,정책 알림,SMS
최하빈,여성,26,작가,수원,대면,010-4890-9424,미혼,아니오,오피스텔,예,예,그랜저,2015,예,아니오,아니오,아니오,아니오,보험료 문의,예,356314877,무한,예,암보험,1264577,20,1,0,보험계약대출,아니오,24,12,정책 알림,SMS
박진우,남성,24,디자이너,대전,대면,010-4451-5530,결혼,아니오,오피스텔,아니오,예,쏘나타,2004,아니오,예,예,아니오,아니오,계약 변경 요청,예,590968015,무한,예,정기상품,3785830,14,0,5331851,신용대출,아니오,1,16,결제 기한,전화
윤재민,여성,55,교사,대구,전화,010-8100-4098,결혼,예,빌라,아니오,아니오,,,예,예,예,아니오,아니오,계약 변경 요청,아니오,0,0,아니오,종신상품,4728866,5,0,0,,아니오,48,13,신제품 출시,SMS
정도윤,남성,26,디자이너,대전,온라인,010-2889-7684,미혼,아니오,빌라,아니오,예,아반떼,2022,예,아니오,아니오,예,아니오,해지 문의,예,346518584,무한,예,정기상품,3933764,16,0,0,담보대출,아니오,36,18,할인 혜택,전화
이서후,여성,62,회계사,부산,대면,010-3047-3806,미혼,아니오,빌라,예,아니오,,,예,아니오,예,아니오,예,기타,아니오,0,0,아니오,정기상품,3792707,13,3,0,신용대출,예,18,9,할인 혜택,앱 알림
윤유하,여성,20,연구원,부산,온라인,010-6521-5743,결혼,아니오,오피스텔,아니오,아니오,,,아니오,예,아니오,아니오,예,보장 내용 문의,아니오,0,0,아니오,정기상품,4911737,6,2,1230429,신용대출,아니오,34,15,결제 기한,이메일
이주원,여성,38,요리사,수원,대면,010-5131-6961,미혼,아니오,연립주택,아니오,아니오,,,아니오,예,예,아니오,아니오,해지 문의,아니오,0,0,아니오,암보험,972491,12,3,3946357,보험계약대출,예,41,11,결제 기한,SMS
장하윤,여성,48,마케터,광주,대면,010-1105-2297,미혼,아니오,빌라,아니오,예,스포티지,2017,예,아니오,아니오,아니오,예,기타,예,169632403,무한,아니오,연금상품,4616353,16,0,3910640,보험계약대출,예,35,16,결제 기한,앱 알림
윤지수,여성,28,소프트웨어 엔지니어,대구,대면,010-4697-2598,미혼,아니오,아파트,아니오,아니오,,,예,예,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,연금상품,1632534,2,2,0,신용대출,예,18,0,할인 혜택,앱 알림
조현서,남성,54,예술가,인천,전화,010-2202-2052,결혼,예,연립주택,아니오,예,아우디,2018,아니오,아니오,예,예,아니오,보험료 문의,예,230994612,무한,아니오,종신상품,1400040,7,2,108778,,예,13,4,할인 혜택,전화
김채원,여성,40,변호사,대전,이메일,010-2115-1941,미혼,아니오,주택,예,아니오,,,예,예,아니오,예,아니오,기타,아니오,0,0,아니오,종신상품,2619991,9,2,0,담보대출,예,23,6,정책 알림,SMS
정서하,여성,35,소프트웨어 엔지니어,울산,이메일,010-5056-2005,미혼,아니오,연립주택,아니오,예,쏘나타,2021,아니오,예,아니오,아니오,예,보험료 문의,예,940015480,무한,아니오,암보험,2841274,14,3,3590196,,예,47,1,결제 기한,앱 알림
임도윤,남성,56,디자이너,광주,이메일,010-8865-5800,미혼,아니오,오피스텔,예,아니오,,,예,예,예,예,아니오,기타,아니오,0,0,아니오,정기상품,2403326,8,1,5467485,보험계약대출,예,28,7,정책 알림,SMS
조시현,여성,65,변호사,창원,이메일,010-1183-5553,미혼,아니오,오피스텔,아니오,예,쏘나타,2018,아니오,아니오,아니오,아니오,아니오,해지 문의,예,601183651,무한,아니오,연금상품,3258250,14,2,7463773,신용대출,예,11,4,신제품 출시,전화
임지후,남성,32,프로그램 개발자,대구,대면,010-7427-5693,미혼,아니오,빌라,아니오,아니오,,,예,아니오,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,암보험,1936228,19,1,0,신용대출,아니오,5,12,할인 혜택,SMS
강진우,남성,35,운동선수,성남,대면,010-1467-8163,미혼,아니오,오피스텔,아니오,예,BMW,2015,예,예,예,예,예,보장 내용 문의,예,241769478,무한,아니오,연금상품,2661152,9,3,546935,신용대출,예,44,8,결제 기한,이메일
윤하린,여성,68,변호사,수원,대면,010-7798-5370,미혼,아니오,오피스텔,예,아니오,,,예,예,아니오,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,정기상품,4128867,11,3,3720042,담보대출,아니오,31,17,할인 혜택,이메일
박태우,여성,46,작가,창원,이메일,010-1129-8511,미혼,아니오,빌라,아니오,예,포드,2021,예,예,예,아니오,아니오,기타,예,127739093,무한,예,연금상품,4447590,1,1,7752160,신용대출,예,46,2,정책 알림,이메일
조하영,여성,37,회계사,대전,온라인,010-5326-3026,결혼,아니오,빌라,아니오,아니오,,,아니오,예,아니오,예,예,해지 문의,아니오,0,0,아니오,정기상품,1381802,15,2,1063449,보험계약대출,아니오,16,19,정책 알림,이메일
최도영,남성,56,소프트웨어 엔지니어,성남,전화,010-6011-8836,미혼,아니오,빌라,예,아니오,,,예,아니오,예,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,연금상품,293935,7,0,3287695,,아니오,15,11,할인 혜택,SMS
김유빈,여성,62,바리스타,울산,대면,010-4503-4179,미혼,아니오,오피스텔,예,예,테슬라,2013,예,예,예,아니오,예,계약 변경 요청,예,387552694,무한,예,정기상품,3716644,5,1,8394730,,예,45,8,정책 알림,앱 알림
이민석,여성,68,소프트웨어 엔지니어,광주,온라인,010-4811-7531,미혼,아니오,아파트,예,아니오,,,아니오,예,아니오,아니오,예,해지 문의,아니오,0,0,아니오,암보험,3840049,14,3,9443345,,아니오,3,14,신제품 출시,앱 알림
임민지,여성,49,변호사,인천,대면,010-3760-5473,결혼,아니오,아파트,아니오,아니오,,,예,아니오,예,예,예,보험료 문의,아니오,0,0,아니오,암보험,1430747,7,1,7814300,담보대출,아니오,17,10,할인 혜택,이메일
박하온,여성,57,마케터,창원,이메일,010-8048-8828,미혼,아니오,아파트,아니오,예,아우디,2008,예,예,예,아니오,예,보장 내용 문의,예,671706895,무한,예,연금상품,4407819,17,0,1350635,보험계약대출,예,3,4,할인 혜택,앱 알림
최다인,여성,25,소프트웨어 엔지니어,울산,대면,010-3167-5411,결혼,예,연립주택,예,아니오,,,예,예,예,아니오,아니오,계약 변경 요청,아니오,0,0,아니오,종신상품,1595701,5,1,1310521,신용대출,예,27,3,결제 기한,SMS
이은서,여성,47,기자,부산,온라인,010-5964-6020,결혼,아니오,빌라,예,아니오,,,아니오,예,예,아니오,아니오,계약 변경 요청,아니오,0,0,아니오,정기상품,338136,6,0,6993943,보험계약대출,예,10,6,정책 알림,이메일
임다인,여성,20,바리스타,서울,전화,010-9162-4950,미혼,아니오,오피스텔,예,예,K5,2009,예,아니오,아니오,예,예,보험료 문의,예,632212967,무한,아니오,정기상품,4740142,8,0,6769183,,예,7,2,신제품 출시,전화
조소율,여성,63,바리스타,부산,대면,010-1989-7992,미혼,아니오,주택,아니오,아니오,,,아니오,아니오,예,아니오,아니오,해지 문의,아니오,0,0,아니오,정기상품,3373838,19,3,2792738,신용대출,아니오,46,2,정책 알림,앱 알림
조연우,남성,67,기자,대전,전화,010-4950-4960,미혼,아니오,연립주택,예,아니오,,,아니오,예,예,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,종신상품,1370430,11,1,3070123,담보대출,아니오,34,5,정책 알림,SMS
이성민,여성,47,소프트웨어 엔지니어,대전,전화,010-6163-6444,결혼,아니오,주택,아니오,아니오,,,아니오,예,예,예,예,보험료 문의,아니오,0,0,아니오,연금상품,711018,14,1,7208444,,예,20,20,신제품 출시,이메일
윤지훈,남성,24,물리치료사,성남,이메일,010-1620-5558,결혼,아니오,아파트,아니오,아니오,,,예,아니오,예,아니오,예,보험료 문의,아니오,0,0,아니오,정기상품,1599247,19,2,8193404,담보대출,아니오,41,3,정책 알림,SMS
임동민,여성,26,기자,부산,대면,010-7157-6177,결혼,예,주택,예,예,스포티지,2023,예,아니오,아니오,아니오,예,보험료 문의,예,221494508,무한,아니오,종신상품,865703,20,3,894466,신용대출,아니오,45,15,할인 혜택,SMS
이은빈,여성,24,간호사,광주,이메일,010-9154-8692,미혼,아니오,주택,아니오,예,벤츠,2001,예,예,예,아니오,아니오,해지 문의,예,890829436,무한,예,종신상품,630294,7,1,0,신용대출,예,46,10,정책 알림,앱 알림
박유진,여성,68,디자이너,창원,온라인,010-9413-6640,결혼,예,아파트,아니오,예,K5,2001,예,예,아니오,예,아니오,보장 내용 문의,예,145606139,무한,아니오,종신상품,2883783,18,2,9734361,담보대출,예,32,10,결제 기한,SMS
이유담,여성,29,물리치료사,수원,이메일,010-6936-2945,미혼,아니오,오피스텔,예,예,벤츠,2009,예,예,아니오,예,아니오,기타,예,396784935,무한,아니오,연금상품,2090022,18,1,67409,신용대출,예,26,6,신제품 출시,이메일
최유나,여성,49,회계사,대전,온라인,010-5830-2891,미혼,아니오,빌라,아니오,예,벤츠,2020,예,예,예,아니오,예,기타,예,699470517,무한,아니오,암보험,1431850,10,3,0,,예,49,19,할인 혜택,SMS
조서후,여성,50,변호사,성남,대면,010-9395-4966,미혼,아니오,주택,아니오,아니오,,,예,예,아니오,예,아니오,해지 문의,아니오,0,0,아니오,정기상품,878012,4,2,2511537,,아니오,27,6,정책 알림,이메일
조은율,여성,37,회계사,인천,이메일,010-4499-5153,결혼,예,빌라,아니오,예,아반떼,2001,아니오,예,예,아니오,예,해지 문의,예,809623935,무한,예,정기상품,441676,7,2,506221,담보대출,예,36,12,정책 알림,앱 알림
박예담,여성,47,연구원,부산,이메일,010-1767-1872,미혼,아니오,아파트,아니오,예,포드,2002,아니오,아니오,예,예,아니오,해지 문의,예,415650976,무한,예,종신상품,3199204,3,1,3895289,담보대출,아니오,37,17,결제 기한,전화
김유담,여성,49,의사,부산,대면,010-5249-2323,미혼,아니오,연립주택,예,예,그랜저,2002,예,예,예,아니오,아니오,해지 문의,예,617279185,무한,예,종신상품,2539869,14,1,963656,신용대출,예,24,16,결제 기한,전화
김연우,남성,42,바리스타,수원,대면,010-3069-6882,미혼,아니오,아파트,예,예,쏘나타,2007,예,아니오,아니오,예,아니오,보장 내용 문의,예,360288817,무한,예,정기상품,1650464,7,3,6541917,담보대출,아니오,31,3,결제 기한,SMS
김지안,여성,59,기자,성남,온라인,010-3821-6151,미혼,아니오,연립주택,아니오,아니오,,,아니오,아니오,아니오,아니오,예,보장 내용 문의,아니오,0,0,아니오,암보험,3708744,17,0,564497,신용대출,예,16,11,신제품 출시,SMS
이하늘,여성,22,교사,성남,온라인,010-6727-8023,결혼,아니오,오피스텔,아니오,아니오,,,예,예,아니오,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,정기상품,4218327,14,0,7849751,보험계약대출,아니오,50,0,할인 혜택,앱 알림
박지훈,남성,47,회계사,대전,이메일,010-7014-5931,결혼,아니오,연립주택,예,예,BMW,2001,예,아니오,예,아니오,예,계약 변경 요청,예,719439963,무한,예,정기상품,3677175,15,1,1344597,신용대출,예,35,13,신제품 출시,이메일
정민경,여성,34,의사,수원,온라인,010-1058-9327,미혼,아니오,연립주택,아니오,아니오,,,예,아니오,아니오,예,아니오,보장 내용 문의,아니오,0,0,아니오,암보험,2524310,4,2,281465,담보대출,예,46,15,결제 기한,전화
김정수,여성,67,물리치료사,서울,전화,010-8285-8704,미혼,아니오,빌라,예,아니오,,,예,아니오,아니오,아니오,아니오,계약 변경 요청,아니오,0,0,아니오,정기상품,3252292,11,3,5984229,신용대출,아니오,35,0,할인 혜택,앱 알림
윤예성,남성,49,의사,대전,전화,010-4893-3460,미혼,아니오,빌라,예,아니오,,,아니오,예,예,아니오,아니오,보험료 문의,아니오,0,0,아니오,종신상품,4608801,4,0,296042,,예,31,15,정책 알림,SMS
이지한,남성,27,회계사,인천,대면,010-2524-7752,결혼,아니오,아파트,아니오,아니오,,,예,아니오,예,예,아니오,보험료 문의,아니오,0,0,아니오,정기상품,2993310,4,2,0,담보대출,예,21,20,할인 혜택,전화
장지안,여성,25,교사,인천,온라인,010-5084-2762,결혼,아니오,아파트,아니오,아니오,,,아니오,아니오,예,예,예,보장 내용 문의,아니오,0,0,아니오,정기상품,2710991,18,2,3631836,신용대출,아니오,18,8,신제품 출시,이메일
윤하진,여성,30,연구원,대구,이메일,010-1907-3970,미혼,아니오,아파트,아니오,예,그랜저,2012,아니오,아니오,예,아니오,아니오,계약 변경 요청,예,135910116,무한,아니오,정기상품,2912762,10,3,7589996,보험계약대출,예,5,11,할인 혜택,이메일
조태린,여성,33,운동선수,대전,전화,010-1322-9241,미혼,아니오,아파트,아니오,아니오,,,예,예,아니오,예,예,보장 내용 문의,아니오,0,0,아니오,암보험,1590800,11,2,1682271,,아니오,49,4,할인 혜택,이메일
장지한,남성,27,마케터,광주,온라인,010-2746-2011,결혼,예,아파트,예,아니오,,,아니오,예,예,예,아니오,보험료 문의,아니오,0,0,아니오,정기상품,4967209,1,0,6715631,,예,4,1,정책 알림,이메일
박지안,여성,45,기자,부산,온라인,010-5849-2107,결혼,예,아파트,아니오,아니오,,,예,예,아니오,예,아니오,해지 문의,아니오,0,0,아니오,종신상품,311492,13,1,1542407,담보대출,아니오,49,1,할인 혜택,전화
윤태영,남성,26,번역가,울산,이메일,010-7309-6085,미혼,아니오,연립주택,예,예,그랜저,2012,아니오,예,예,아니오,아니오,해지 문의,예,233398595,무한,아니오,암보험,3808511,16,3,3398401,,예,12,18,정책 알림,전화
이채은,여성,63,연구원,인천,온라인,010-7455-9553,결혼,예,주택,아니오,아니오,,,예,예,예,예,아니오,계약 변경 요청,아니오,0,0,아니오,종신상품,2056533,14,2,2296063,담보대출,예,9,18,결제 기한,SMS
정민수,남성,65,연구원,창원,전화,010-9231-9392,결혼,예,빌라,예,아니오,,,예,예,예,아니오,예,계약 변경 요청,아니오,0,0,아니오,종신상품,4985300,9,3,140376,담보대출,아니오,36,18,할인 혜택,앱 알림
박민규,남성,69,프로그램 개발자,창원,이메일,010-1211-9453,미혼,아니오,오피스텔,예,아니오,,,예,예,아니오,아니오,예,기타,아니오,0,0,아니오,연금상품,3370369,19,2,298290,,아니오,1,18,결제 기한,이메일
정경수,남성,48,예술가,수원,온라인,010-8228-9017,미혼,아니오,주택,아니오,아니오,,,예,예,예,예,아니오,기타,아니오,0,0,아니오,암보험,575565,13,2,3496407,신용대출,아니오,26,5,정책 알림,앱 알림
박재희,여성,23,사진작가,부산,이메일,010-5696-5521,결혼,예,오피스텔,아니오,예,BMW,2017,아니오,예,예,예,예,보험료 문의,예,718217442,무한,아니오,종신상품,3151139,14,1,974666,,예,37,19,결제 기한,앱 알림
이가은,여성,27,요리사,창원,이메일,010-1242-4060,결혼,예,오피스텔,아니오,아니오,,,아니오,예,아니오,아니오,아니오,계약 변경 요청,아니오,0,0,아니오,정기상품,4886691,12,1,0,,예,14,18,정책 알림,SMS
조태우,여성,67,의사,서울,전화,010-4454-5112,결혼,예,아파트,예,예,아우디,2001,아니오,아니오,아니오,예,예,기타,예,930540013,무한,예,정기상품,3273988,6,1,262094,신용대출,예,13,19,정책 알림,SMS
박현수,남성,68,바리스타,부산,전화,010-5901-4313,결혼,예,오피스텔,예,예,K5,2015,예,예,예,예,아니오,보장 내용 문의,예,726244949,무한,예,종신상품,1561402,2,1,6108861,신용대출,아니오,23,12,정책 알림,전화
김채윤,여성,55,작가,부산,이메일,010-5024-8177,미혼,아니오,아파트,아니오,아니오,,,아니오,아니오,예,아니오,예,보장 내용 문의,아니오,0,0,아니오,정기상품,3422191,5,0,1110052,,아니오,42,4,정책 알림,앱 알림
정수아,여성,59,바리스타,창원,전화,010-3460-3126,결혼,아니오,오피스텔,아니오,예,아우디,2014,예,예,아니오,예,아니오,기타,예,266031673,무한,예,암보험,2458509,17,3,6278122,,예,48,9,신제품 출시,SMS
박민수,남성,21,간호사,성남,대면,010-2429-6281,결혼,아니오,연립주택,예,아니오,,,예,아니오,예,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,암보험,4731607,13,0,0,담보대출,예,44,12,정책 알림,앱 알림
윤지우,여성,66,디자이너,대구,전화,010-4471-4684,미혼,아니오,연립주택,아니오,아니오,,,아니오,예,예,예,예,보장 내용 문의,아니오,0,0,아니오,암보험,3567323,3,1,0,보험계약대출,아니오,34,17,정책 알림,이메일
김세진,여성,29,교사,광주,온라인,010-4155-6596,미혼,아니오,오피스텔,아니오,아니오,,,아니오,예,예,아니오,아니오,보험료 문의,아니오,0,0,아니오,종신상품,832781,5,2,0,,예,45,18,할인 혜택,SMS
임승현,남성,42,바리스타,수원,온라인,010-3787-9138,미혼,아니오,빌라,예,아니오,,,아니오,예,아니오,예,아니오,해지 문의,아니오,0,0,아니오,정기상품,2000181,18,1,0,,예,37,11,할인 혜택,전화
박영희,여성,47,요리사,광주,대면,010-9633-3533,미혼,아니오,오피스텔,아니오,예,벤츠,2023,예,예,아니오,예,아니오,보험료 문의,예,534415471,무한,아니오,정기상품,4299153,2,0,4765817,보험계약대출,아니오,37,3,정책 알림,SMS
김세진,여성,67,요리사,수원,전화,010-6432-7935,미혼,아니오,연립주택,예,예,K5,2006,아니오,아니오,아니오,아니오,예,계약 변경 요청,예,858144168,무한,예,정기상품,3375387,3,0,0,,아니오,18,2,신제품 출시,앱 알림
박준서,남성,57,간호사,대구,온라인,010-7916-4426,결혼,예,빌라,아니오,아니오,,,아니오,예,아니오,아니오,예,해지 문의,아니오,0,0,아니오,정기상품,1672436,4,0,1871415,,예,23,1,정책 알림,SMS
정도영,남성,66,소프트웨어 엔지니어,울산,이메일,010-1820-4473,결혼,예,오피스텔,아니오,아니오,,,아니오,예,예,예,아니오,해지 문의,아니오,0,0,아니오,종신상품,626171,16,2,8315222,신용대출,예,11,5,신제품 출시,SMS
김성훈,여성,49,간호사,대전,온라인,010-7258-3858,결혼,예,연립주택,예,예,그랜저,2015,아니오,아니오,아니오,예,예,계약 변경 요청,예,605713665,무한,예,종신상품,4627672,19,1,1956601,보험계약대출,예,40,6,신제품 출시,전화
임수연,여성,53,디자이너,부산,이메일,010-7319-8212,결혼,아니오,빌라,아니오,아니오,,,예,아니오,아니오,아니오,아니오,보험료 문의,아니오,0,0,아니오,종신상품,2724966,18,2,6487592,신용대출,예,33,17,할인 혜택,전화
강현서,남성,26,요리사,대전,전화,010-2811-6004,미혼,아니오,빌라,예,아니오,,,예,아니오,아니오,아니오,아니오,계약 변경 요청,아니오,0,0,아니오,암보험,4623961,16,2,9489058,신용대출,아니오,18,14,할인 혜택,SMS
김나은,여성,63,변호사,대구,대면,010-7223-9781,미혼,아니오,연립주택,아니오,아니오,,,예,아니오,아니오,아니오,예,보장 내용 문의,아니오,0,0,아니오,암보험,2182738,14,1,0,보험계약대출,예,18,11,신제품 출시,SMS
장하온,여성,26,소프트웨어 엔지니어,서울,이메일,010-2092-6334,미혼,아니오,빌라,아니오,아니오,,,아니오,아니오,예,예,아니오,해지 문의,아니오,0,0,아니오,암보험,2216337,15,3,8075477,,아니오,29,17,신제품 출시,이메일
박다인,여성,32,프로그램 개발자,서울,이메일,010-6976-2520,결혼,예,빌라,아니오,예,K5,2022,예,예,아니오,예,아니오,기타,예,325831450,무한,예,종신상품,4217071,17,1,5190227,보험계약대출,예,17,13,신제품 출시,전화
임다인,여성,66,요리사,수원,전화,010-9055-5185,미혼,아니오,연립주택,예,아니오,,,아니오,아니오,예,아니오,예,기타,아니오,0,0,아니오,종신상품,2205814,13,1,124956,,아니오,31,15,정책 알림,이메일
김은율,여성,34,작가,부산,대면,010-4598-5293,미혼,아니오,연립주택,예,아니오,,,아니오,아니오,예,예,아니오,계약 변경 요청,아니오,0,0,아니오,암보험,4444864,19,3,856598,보험계약대출,예,40,0,결제 기한,앱 알림
최하늘,여성,51,마케터,수원,이메일,010-3865-9480,결혼,아니오,아파트,아니오,아니오,,,아니오,아니오,예,아니오,예,보장 내용 문의,아니오,0,0,아니오,종신상품,2784183,4,1,6940775,신용대출,예,18,2,결제 기한,전화
조지후,남성,68,마케터,울산,전화,010-3973-6719,미혼,아니오,주택,아니오,예,스포티지,2010,아니오,아니오,아니오,예,아니오,해지 문의,예,276661757,무한,예,종신상품,953622,2,1,898186,담보대출,예,13,17,정책 알림,SMS
임연우,남성,64,간호사,서울,전화,010-8475-2783,결혼,아니오,아파트,아니오,예,쏘나타,2021,아니오,예,예,아니오,예,보험료 문의,예,957972124,무한,예,암보험,580066,13,3,2006998,,예,44,6,정책 알림,앱 알림
강예지,여성,27,회계사,부산,전화,010-9246-1767,결혼,아니오,주택,예,아니오,,,아니오,아니오,예,예,예,보장 내용 문의,아니오,0,0,아니오,연금상품,2707510,13,3,0,신용대출,아니오,16,19,신제품 출시,앱 알림
박도영,남성,26,운동선수,울산,전화,010-8511-6579,미혼,아니오,빌라,예,예,그랜저,2018,예,예,아니오,예,아니오,해지 문의,예,364110557,무한,예,종신상품,1438430,4,2,8736661,,예,12,7,신제품 출시,SMS
윤나현,여성,54,엔지니어,울산,대면,010-7870-1742,결혼,예,주택,아니오,아니오,,,예,아니오,예,아니오,아니오,기타,아니오,0,0,아니오,정기상품,2352009,20,0,4289432,담보대출,예,50,18,할인 혜택,SMS
박동현,여성,54,운동선수,광주,온라인,010-8965-3014,결혼,예,주택,예,아니오,,,예,예,예,예,예,보험료 문의,아니오,0,0,아니오,정기상품,2402455,19,3,8568763,담보대출,예,16,19,결제 기한,앱 알림
윤태윤,남성,66,물리치료사,수원,전화,010-3999-2293,결혼,예,연립주택,예,아니오,,,예,예,아니오,예,예,계약 변경 요청,아니오,0,0,아니오,정기상품,1096017,13,2,6378726,신용대출,예,13,18,신제품 출시,SMS
임태윤,남성,65,간호사,대전,대면,010-6946-7180,미혼,아니오,빌라,아니오,예,아우디,2010,아니오,아니오,아니오,아니오,아니오,해지 문의,예,708751551,무한,아니오,종신상품,3645954,20,0,2533851,담보대출,아니오,2,14,할인 혜택,이메일
김민석,여성,52,운동선수,수원,대면,010-3200-6104,결혼,예,주택,아니오,아니오,,,예,아니오,예,예,예,해지 문의,아니오,0,0,아니오,종신상품,2862475,8,3,3854330,,아니오,21,10,신제품 출시,이메일
강태훈,여성,55,엔지니어,인천,전화,010-6852-7145,결혼,예,연립주택,예,아니오,,,예,아니오,예,아니오,예,기타,아니오,0,0,아니오,정기상품,4987149,3,2,0,,아니오,46,4,신제품 출시,앱 알림
최지한,남성,60,프로그램 개발자,수원,대면,010-7056-5801,결혼,예,오피스텔,예,아니오,,,아니오,아니오,예,예,아니오,기타,아니오,0,0,아니오,종신상품,2101598,8,3,0,신용대출,아니오,35,19,신제품 출시,전화
장나영,여성,65,회계사,대구,대면,010-7163-4515,결혼,아니오,주택,예,아니오,,,아니오,예,아니오,아니오,아니오,해지 문의,아니오,0,0,아니오,정기상품,1640778,11,1,5404393,보험계약대출,예,13,10,할인 혜택,전화
김은우,여성,46,요리사,창원,온라인,010-6281-9000,미혼,아니오,주택,예,아니오,,,아니오,아니오,아니오,예,예,보험료 문의,아니오,0,0,아니오,암보험,4341028,16,0,848487,담보대출,아니오,41,20,정책 알림,앱 알림
강하진,여성,33,간호사,부산,이메일,010-6151-4045,미혼,아니오,오피스텔,예,아니오,,,아니오,아니오,아니오,예,예,기타,아니오,0,0,아니오,암보험,4669233,8,2,0,,예,12,9,신제품 출시,전화
조지후,남성,37,바리스타,대전,이메일,010-5090-6990,결혼,아니오,연립주택,아니오,예,테슬라,2009,아니오,아니오,아니오,아니오,예,보장 내용 문의,예,661757545,무한,아니오,연금상품,672329,8,3,926088,담보대출,예,9,17,결제 기한,SMS
정예진,여성,58,물리치료사,울산,온라인,010-8541-4934,미혼,아니오,아파트,아니오,예,벤츠,2020,아니오,예,예,아니오,예,보장 내용 문의,예,166665074,무한,아니오,연금상품,4834958,20,3,284784,보험계약대출,예,2,7,신제품 출시,SMS
윤예준,남성,35,소프트웨어 엔지니어,인천,전화,010-8383-4373,미혼,아니오,빌라,예,아니오,,,예,예,예,예,아니오,기타,아니오,0,0,아니오,암보험,1065465,1,3,4213598,신용대출,아니오,11,1,정책 알림,이메일
임지환,남성,48,소프트웨어 엔지니어,대전,이메일,010-2818-2363,결혼,예,주택,예,아니오,,,예,예,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,정기상품,2598703,11,2,941023,,예,25,17,할인 혜택,SMS
장태훈,여성,23,운동선수,성남,온라인,010-8848-6937,결혼,예,연립주택,예,예,스포티지,2012,아니오,아니오,아니오,예,예,기타,예,187843432,무한,아니오,종신상품,3620378,14,1,1827310,,아니오,44,15,신제품 출시,앱 알림
윤정수,여성,63,번역가,부산,온라인,010-6694-2229,미혼,아니오,아파트,예,아니오,,,예,아니오,예,아니오,아니오,해지 문의,아니오,0,0,아니오,정기상품,386708,17,1,5441150,보험계약대출,아니오,23,9,신제품 출시,이메일
최예준,남성,62,기자,부산,온라인,010-3703-8721,미혼,아니오,주택,아니오,예,아반떼,2001,예,아니오,아니오,예,예,기타,예,841064750,무한,아니오,종신상품,1459993,13,2,2210349,담보대출,아니오,10,4,정책 알림,앱 알림
정지후,남성,45,예술가,서울,대면,010-2318-2398,결혼,예,연립주택,예,예,아반떼,2022,아니오,아니오,예,아니오,예,기타,예,233619362,무한,아니오,정기상품,4927972,19,0,9476533,,예,8,14,할인 혜택,앱 알림
임도윤,남성,55,사진작가,창원,온라인,010-3120-2412,미혼,아니오,오피스텔,아니오,예,아반떼,2013,예,아니오,아니오,예,예,보험료 문의,예,810065746,무한,예,연금상품,1331410,16,0,9911515,신용대출,예,15,0,결제 기한,앱 알림
최나현,여성,50,물리치료사,수원,온라인,010-3025-7209,미혼,아니오,빌라,예,아니오,,,아니오,예,아니오,예,예,보험료 문의,아니오,0,0,아니오,종신상품,1240700,2,2,0,보험계약대출,아니오,28,5,할인 혜택,전화
강하빈,여성,54,기자,광주,이메일,010-5773-2674,결혼,아니오,빌라,예,예,그랜저,2002,예,예,아니오,예,예,보험료 문의,예,100136222,무한,예,연금상품,3563912,13,1,1550143,담보대출,아니오,39,10,신제품 출시,이메일
윤주희,여성,54,마케터,울산,전화,010-9503-6087,미혼,아니오,빌라,예,아니오,,,예,아니오,예,아니오,예,해지 문의,아니오,0,0,아니오,종신상품,4157483,1,2,6530653,신용대출,예,14,18,결제 기한,전화
박민수,남성,46,변호사,광주,대면,010-3526-2678,결혼,예,연립주택,아니오,예,포드,2011,아니오,아니오,예,아니오,예,기타,예,563247853,무한,아니오,종신상품,383487,9,2,5359338,신용대출,예,26,2,할인 혜택,전화
